Issue ID,Title,Created Date,Created By,Type,State,Label
"52","[Spec] Duplicate ambient external module name","7/17/2014","mhegazy","Issue","closed","Fixed"
"53","[Errors] break/continue outside iteration/switch statements","7/17/2014","mhegazy","Issue","closed","Fixed"
"54","[Errors] Exported class implementing non-exported interface","7/17/2014","mhegazy","Issue","closed","Fixed"
"55","[Errors] Exported type whose functions use parameters of non-exported type","7/17/2014","mhegazy","Issue","closed","Fixed"
"56","[Errors] Exported type whose functions return non-exported type","7/17/2014","mhegazy","Issue","closed","Fixed"
"57","[Errors] break/continue across function boundary","7/17/2014","mhegazy","Issue","closed","Fixed"
"58","[Errors] break/continue with invalid target","7/17/2014","mhegazy","Issue","closed","Fixed"
"59","[Design] merging modules across files","7/17/2014","mhegazy","Issue","closed","Fixed"
"60","[Errors] No error using unexported type from module inside an exported type","7/17/2014","mhegazy","Issue","closed","Fixed"
"61","[Errors] Octal literals should be an error in ES5","7/17/2014","mhegazy","Issue","closed","Fixed"
"62","[Errors] No error for function with return type annotation that lacks a return statement","7/17/2014","mhegazy","Issue","closed","Fixed"
"63","[Errors] top level identifier named require or exports","7/17/2014","mhegazy","Issue","closed","Fixed"
"64","[Errors] _this in reserved positions","7/17/2014","mhegazy","Issue","closed","Fixed"
"65","[Errors] exported function returning a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"66","[Errors] class implementing private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"67","[Errors] getter returning private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"68","[Errors] setter with arg of private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"69","[Errors] exported var of private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"70","[Errors] merged interface declarations with conflicting heritage specifications","7/17/2014","mhegazy","Issue","closed","Fixed"
"71","[Errors] constructor parameter named 'static'","7/17/2014","mhegazy","Issue","closed","Fixed"
"72","[Spec] contextual typing of return expression values","7/17/2014","mhegazy","Issue","closed","Fixed"
"73","[Errors] No error trying to import shadowed internal module","7/17/2014","mhegazy","Issue","closed","Fixed"
"74","[Errors] duplicate labels","7/17/2014","mhegazy","Issue","closed","Fixed"
"75","[Errors] function overload with statements before its implementation","7/17/2014","mhegazy","Issue","closed","Fixed"
"76","[Errors] function overloads and implementation declared out of order","7/17/2014","mhegazy","Issue","closed","Fixed"
"77","[Error] No error for exported thing using inaccessible (unexported) module","7/17/2014","mhegazy","Issue","closed","Fixed"
"78","[Error] No error for exported class extending unexported class","7/17/2014","mhegazy","Issue","closed","Fixed"
"79","[Errors] constructor of exported class with parameter of a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"80","[Errors] public method of exported class with parameter of a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"81","[Errors] public method of exported class returning a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"82","[Errors] exported function with parameter of a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"83","[Error] No error for exported interface extending unexported interface","7/17/2014","mhegazy","Issue","closed","Fixed"
"84","[Errors] public method of exported interface returning a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"85","[Errors] public method of exported interface with parameter of a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
"86","[Error] Type parameter of accessible thing exposes inaccessible type","7/17/2014","mhegazy","Issue","closed","Fixed"
"87","[Spec] Hiding of call/construct signatures","7/17/2014","mhegazy","Issue","closed","Fixed"
"88","[Error] Contextual signature instantiation missing","7/17/2014","mhegazy","Issue","closed","Fixed"
"89","[Errors] wrong identifier in errors that reference indexers","7/17/2014","mhegazy","Issue","closed","Fixed"
"90","[Errors] Wrong set of errors when using type annotations with overloads on consts","7/17/2014","mhegazy","Issue","closed","Fixed"
"91","[Errors] functions that differ on export modifier","7/17/2014","mhegazy","Issue","closed","Fixed"
"92","[Errors] function overload missing implementation","7/17/2014","mhegazy","Issue","closed","Fixed"
"93","[Errors] Message quality degradation for overload resolution errors","7/17/2014","mhegazy","Issue","closed","Fixed"
"94","[Errors] Errors use aliased type name instead of the alias name","7/17/2014","mhegazy","Issue","closed","Fixed"
"95","[Errors] Duplicate identifier X instead of Getter or Setter X already declared","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"96","[Errors] empty/implements extends list","7/17/2014","mhegazy","Issue","closed","Fixed"
"97","[Errors] Shorter: Neither type X nor type Y is assignable to the other","7/17/2014","mhegazy","Issue","closed","Fixed"
"98","[Errors] error recovery with new expression on unknown symbol","7/17/2014","mhegazy","Issue","closed","Fixed"
"99","[Errors] incorrect array creation syntax","7/17/2014","mhegazy","Issue","closed","Fixed"
"100","[Errors][Message] Assignability with signatures","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"101","[Errors][Message] Generic type argument count mismatch error","7/17/2014","mhegazy","Issue","closed","Duplicate"
"102","[Errors][Message] Module in type reference","7/17/2014","mhegazy","Issue","open","Accepting PRs"
"103","[Errors][Message] Generic type argument on identifier expression","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"104","[Errors] error recovery after return statements in invalid positions","7/17/2014","mhegazy","Issue","closed","Fixed"
"105","[Errors] void as a member access expression","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"106","[Errors] error recovery with lambda with incomplete parameter type annotation","7/17/2014","mhegazy","Issue","closed","Fixed"
"107","Remove colons from chained error messages","7/17/2014","mhegazy","Issue","closed","Fixed"
"108","[Errors] incorrectly ordered implements and extends","7/17/2014","mhegazy","Issue","closed","Fixed"
"109","[Errors] multiple class inheritance","7/17/2014","mhegazy","Issue","closed","Fixed"
"110","[Errors] regex parsing","7/17/2014","mhegazy","Issue","closed","Fixed"
"111","[Errors] error recovery with incorrect lambda syntax","7/17/2014","mhegazy","Issue","closed","Bug"
"112","[Errors] error recovery with duplicate extends clauses","7/17/2014","mhegazy","Issue","closed","Fixed"
"113","[Errors] error recovery with unknown modifier","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"114","[Errors] error recovery with missing module name","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"115","[Errors] parser error recovery with comma in type member list","7/17/2014","mhegazy","Issue","closed","Fixed"
"116","[Errors] error recovery for class with semicolon after method body","7/17/2014","mhegazy","Issue","closed","Fixed"
"117","[Errors] error recovery with missing = in property initializers","7/17/2014","mhegazy","Issue","closed","Fixed"
"118","[Errors] error recovery of object literals with missing :","7/17/2014","mhegazy","Issue","closed","Won't Fix"
"119","[Errors] error recovery with lambda missing close paren","7/17/2014","mhegazy","Issue","closed","Fixed"
"120","[Errors] error recovery when /// or import cannot be resolved","7/17/2014","mhegazy","Issue","closed","Fixed"
"121","[Errors] error recovery with interface with implements clause","7/17/2014","mhegazy","Issue","closed","Fixed"
"122","[Errors] error recovery with lambda missing open curly","7/17/2014","mhegazy","Issue","closed","Fixed"
"123","[Errors] error recovery with illegal modifiers inside function bodies","7/17/2014","mhegazy","Issue","closed","Fixed"
"124","[Errors] Error recovery with unfinished type name with dotted name","7/17/2014","mhegazy","Issue","closed","Fixed"
"125","[Errors] error recovery with errant / in generic function invocation","7/17/2014","mhegazy","Issue","closed","Fixed"
"126","[Errors] Automatic Semicolon Insertion in Classes","7/17/2014","mhegazy","Issue","closed","Fixed"
"127","[Errors] with blocks","7/17/2014","mhegazy","Issue","closed","Fixed"
"128","[Error] Error that --module is needed to compile external modules","7/17/2014","mhegazy","Issue","closed","Fixed"
"129","[Errors] strict mode issues","7/17/2014","mhegazy","Issue","closed","Fixed"
"130","Repeated member of object literal should be syntax error in strict mode","7/17/2014","mhegazy","Issue","closed","Fixed"
"131","Linemaps need to handle all sorts of Js new lines, current implementation only parses \r and \n","7/17/2014","mhegazy","Issue","closed","Fixed"
"132","[Errors] overload resolution with PropertyDescriptor","7/17/2014","mhegazy","Issue","closed","By Design"
"133","Validate discrepancies in project tests","7/17/2014","mhegazy","Issue","closed","By Design"
"134","Should not allow numeric names on enum members","7/17/2014","JsonFreeman","Issue","closed","Fixed"
"135","[Emit] Should not elide an import if it has observable side effects","7/17/2014","JsonFreeman","Issue","closed","Won't Fix"
"136","do not propagate function name in property accessors","7/17/2014","vladima","PR","closed","PR"
"137","relax the restrictions to reference comment shape","7/17/2014","vladima","PR","closed","PR"
"138","Use contextual signature instantiation to compare signatures","7/17/2014","JsonFreeman","Issue","open","Suggestion"
"139","Better error messages for ambient accessors.","7/17/2014","DanielRosenwasser","Issue","closed","Fixed"
"140","emit prologue directives as first lines in file","7/17/2014","vladima","PR","closed","PR"
"141","Fixed the typo in declaration emitter of implements clause","7/17/2014","sheetalkamat","PR","closed","PR"
"142","Compile the generated decl files and report those errors in the baseline so we can verify the result of dts file for correctness","7/17/2014","sheetalkamat","PR","closed","PR"
"143","'use strict' should always be emitted first in functions","7/17/2014","vladima","Issue","closed","Fixed"
"144","Do not emit rest parameter name in constructors","7/17/2014","mhegazy","Issue","closed","Fixed"
"145","Issue #144: Do not emit the name of the rest paramter in constructors","7/17/2014","mhegazy","PR","closed","PR"
"146","Error for missing module flag is now in createProgram","7/18/2014","JsonFreeman","PR","closed","PR"
"147","Complain when a non-void function lacks a return expresson.","7/18/2014","DanielRosenwasser","PR","closed","PR"
"148","Automatic semicolon insertion now works in type literals","7/18/2014","jonathandturner","Issue","closed","By Design"
"149","Object literal getters in class bodies may no longer use the 'super' keyword","7/18/2014","jonathandturner","Issue","closed","By Design"
"150","Enums starting with a negative number now correctly autonumber","7/18/2014","jonathandturner","Issue","closed","By Design"
"151","Enum values are now assignable to Object","7/18/2014","jonathandturner","Issue","closed","By Design"
"152","External module imports are no longer always valid import alias sources","7/18/2014","jonathandturner","Issue","closed","By Design"
"153","List of minor breaking changes from 1.0","7/18/2014","RyanCavanaugh","Issue","closed","By Design"
"154","Wrong error for for..in statement","7/18/2014","JsonFreeman","Issue","closed","Fixed"
"155","added collision check for '_this'","7/18/2014","vladima","PR","closed","PR"
"156","Misplaced error span for multiple var declarations in for..in","7/18/2014","JsonFreeman","Issue","closed","Fixed"
"157","emit 'use strict' at the beginning of the function","7/18/2014","vladima","PR","closed","PR"
"158","Ensuring local module names are unique in emit.","7/18/2014","ahejlsberg","PR","closed","PR"
"159","No error for duplicate default labels","7/18/2014","mhegazy","Issue","closed","Fixed"
"160","Condense all error spans to just the name for variable, class, interface, module, enum and enum member","7/18/2014","JsonFreeman","PR","closed","PR"
"161","Report errors for usage of private types when generating declaration file","7/18/2014","sheetalkamat","PR","closed","PR"
"162","Non-void functions can omit return expressions","7/20/2014","DanielRosenwasser","Issue","closed","Duplicate"
"163","Spec: Non-public class members should not contribute to the 'depends on' closure of module visibility requirements","7/21/2014","RyanCavanaugh","Issue","closed","Fixed"
"164","No error for a modifier on an export assignment","7/21/2014","JsonFreeman","Issue","closed","Fixed"
"165","Pattern Matching Support","7/21/2014","dignifiedquire","Issue","open","Suggestion"
"166","browserify not working","7/21/2014","DickvdBrink","Issue","closed","Fixed"
"167","Generics, overloaded functions, and objects interact inconsistently","7/21/2014","georgewfraser","Issue","closed","Fixed"
"168","Web tests only run when cloned in TypeScript folder","7/21/2014","DickvdBrink","Issue","closed","Fixed"
"169","Fix browser tests not working when not cloned in TypeScript directory","7/21/2014","DickvdBrink","PR","closed","PR"
"170","Parser should error on a 'with' statement in strict mode","7/21/2014","JsonFreeman","Issue","closed","Duplicate"
"171","Attempting to extend a declared class should give a better error message","7/21/2014","georgewfraser","Issue","closed","Fixed"
"172","Modules named 'string' can crash the compiler","7/21/2014","georgewfraser","Issue","closed","Fixed"
"173","Checking for multiple 'default' clauses.","7/21/2014","DanielRosenwasser","PR","closed","PR"
"174","'string' should be a legal module name","7/21/2014","georgewfraser","Issue","closed","Fixed"
"175","Added contextual signature instantiation during type inference.","7/21/2014","ahejlsberg","PR","closed","PR"
"176","Give a semantic error on with statements","7/21/2014","JsonFreeman","PR","closed","PR"
"177","Module Implementation","7/21/2014","hsdk123","Issue","closed","Question"
"178","String indexer accepted as var type but not as class member type","7/21/2014","omidkrad","Issue","closed","By Design"
"179","Site link to 'file bug' needs to be updated","7/21/2014","omidkrad","Issue","closed","Fixed"
"180","Fixes browserify task when browserify isn't installed globally.","7/21/2014","DickvdBrink","PR","closed","PR"
"181","Keywords (e.g. 'delete', 'var') should be valid class method names","7/21/2014","vvakame","Issue","closed","Fixed"
"182","Use static interfaces for Ambient declarations in lib.d.ts","7/21/2014","basarat","Issue","closed","Fixed"
"183","Suggestion: callable class","7/21/2014","fdecampredon","Issue","open","Suggestion"
"184","Return value of String.match has an index property","7/21/2014","binil","Issue","closed","Fixed"
"185","Suggestion: non-nullable type","7/21/2014","fdecampredon","Issue","closed","Fixed"
"186","Suggestion: sum types / tagged union","7/22/2014","alainfrisch","Issue","closed","Fixed"
"187","Add snapshot of release-1.0.3 sources","7/22/2014","lyabob","PR","closed","PR"
"188","Please provide autocomplete for <reference> and import paths","7/22/2014","NoelAbrahams","Issue","open","Accepting PRs"
"189","Please enable CodeLens for TypeScript files","7/22/2014","NoelAbrahams","Issue","open","Suggestion"
"190","Intellisense should remember last selected item","7/22/2014","NoelAbrahams","Issue","closed","Fixed"
"191","Overload on constants: type checking additional parameters","7/22/2014","NoelAbrahams","Issue","closed","Fixed"
"192","Please provide an option for combining only declaration files","7/22/2014","NoelAbrahams","Issue","closed","Declined"
"193","Compiler difference","7/22/2014","knarfalingus","Issue","closed","Duplicate"
"194","Update the references to VS 2013 U2 RC in typescriptlang.org","7/22/2014","fujiy","Issue","closed","Fixed"
"195","Suggestion: int type","7/22/2014","fdecampredon","Issue","open","Suggestion"
"196","Aligning index signature type inference with assignability rules.","7/22/2014","ahejlsberg","PR","closed","PR"
"197","Alternative proposal for grouping exported and local declarations","7/22/2014","vladima","PR","closed","PR"
"198","Suggestion: Contract Programming","7/22/2014","fdecampredon","Issue","open","Suggestion"
"199","Allow reserved words in type queries.","7/22/2014","ahejlsberg","PR","closed","PR"
"200","Automatic semicolon insertion doesn't work for break/continue at end of file","7/22/2014","JsonFreeman","Issue","closed","Fixed"
"201","MSBuild: Include output file to be copied to the output directory","7/22/2014","omidkrad","Issue","closed","Needs More Info"
"202","Support some non-structural (nominal) type matching","7/22/2014","iislucas","Issue","open","Suggestion"
"203","Improved lookahead for arrow functions.","7/22/2014","DanielRosenwasser","PR","closed","PR"
"204","Suggestion: typeof of generic type","7/22/2014","omidkrad","Issue","closed","By Design"
"205","Support checking typescript code implements a declaration file","7/22/2014","iislucas","Issue","closed","Declined"
"206","Suggestion: Anonymous/Unnamed Modules","7/22/2014","omidkrad","Issue","closed","Declined"
"207","Allow importing directories with index.ts files as relative external modules.","7/22/2014","coreh","Issue","closed","Duplicate"
"208","IntelliSense/completions within comments","7/22/2014","MaleDong","Issue","closed","Fixed"
"209","Suggestion: Generic Parameter Overloads","7/22/2014","omidkrad","Issue","open","Suggestion"
"210","Suggestion: enum type implementation","7/22/2014","omidkrad","Issue","closed","Declined"
"211","Suggestion: Graduall typing using soft Interfaces","7/23/2014","ofirgeller","Issue","closed","Declined"
"212","bind(), call(), and apply() are untyped","7/23/2014","jameslong","Issue","open","Suggestion"
"213","Suggestion: Language Spec as markdown","7/23/2014","fdecampredon","Issue","closed","Suggestion"
"214","Support nested type parameters","7/23/2014","jameslong","Issue","closed","Fixed"
"215","Parser analysis and errors for labelled statements, break, continue, return","7/23/2014","JsonFreeman","PR","closed","PR"
"216","Better error message for 'catch' block missing 'try'.","7/23/2014","DanielRosenwasser","Issue","closed","Fixed"
"217","Strict mode support","7/23/2014","vladima","PR","closed","PR"
"218","fix runtests/baseline generation on mac/unix","7/23/2014","sparecycles","PR","closed","PR"
"219","Add a compiler flag to only generate output for source files.","7/23/2014","coreh","Issue","closed","Declined"
"220","Elaboration in assignability errors for call expressions.","7/23/2014","DanielRosenwasser","PR","closed","PR"
"221","Problems extending Object.prototype with Node.js and /// <reference path='node/node.d.ts' />","7/23/2014","AaronNGray","Issue","closed","By Design"
"222","Inherited types in callback functions","7/23/2014","arknave","Issue","closed","By Design"
"223","Linux test fixes","7/23/2014","danquirk","PR","closed","PR"
"224","A new test","7/23/2014","danquirk","PR","closed","PR"
"225","Incompatible FormData constructor between W3C specs","7/23/2014","vvakame","Issue","closed","Fixed"
"226","fix path in Jakefile (for mac)","7/23/2014","sparecycles","PR","closed","PR"
"227","Issue a more useful error when attempting to construct non-newable type","7/23/2014","RyanCavanaugh","Issue","open","Accepting PRs"
"228","Function return value constraints","7/24/2014","KamyarNazeri","Issue","closed","Fixed"
"229","Support specifying type of 'this' in function implementations","7/24/2014","abergs","Issue","closed","Duplicate"
"230","Missing semicolon fix","7/24/2014","maxdeepfield","PR","closed","PR"
"231","Update runner.ts","7/24/2014","kauegimenes","PR","closed","PR"
"232","(horrible idea?) support some kind of workflow using both TypeScript (specifically, compile-time type checking) and traceur","7/24/2014","jamesmanning","Issue","closed","Declined"
"233","Unexpected error occured, 'TypeError: Cannot read property 'instantiations' of undefined'","7/24/2014","vvakame","Issue","closed","Fixed"
"234","Path in jakefile mac issue","7/24/2014","saru95","Issue","closed","Fixed"
"235","Outlining should collapse function expressions","7/24/2014","JsonFreeman","Issue","closed","Fixed"
"236","Untyped function calls","7/24/2014","RyanCavanaugh","Issue","closed","Fixed"
"237","Spread arrays","7/24/2014","RyanCavanaugh","Issue","closed","Fixed"
"238","Spread arguments","7/24/2014","RyanCavanaugh","Issue","closed","Suggestion"
"239","Extending class 'extends' to work with expressions","7/24/2014","RyanCavanaugh","Issue","closed","Duplicate"
"240","Destructuring (ES6)","7/24/2014","RyanCavanaugh","Issue","closed","Closed"
"241","Don't widen return types of function expressions","7/24/2014","RyanCavanaugh","Issue","open","Suggestion"
"242","Better error messages in function calls.","7/24/2014","ahejlsberg","PR","closed","PR"
"243","External interfaces included in IDE symbol space","7/24/2014","breyed","Issue","open","Accepting PRs"
"244","Intellisense problems in VS2013 Update 2","7/25/2014","rekna1","Issue","closed","Needs More Info"
"245","tsc does not set process exit status correctly on failure","7/25/2014","robertknight","Issue","closed","Fixed"
"246","Set the exit status for the process correctly when compilation fails","7/25/2014","robertknight","PR","closed","PR"
"247","Support looking for modules under node_modules when importing","7/25/2014","chanon","Issue","closed","Suggestion"
"248","Strange behavior in type argument inference with Promises","7/25/2014","JsonFreeman","Issue","closed","Duplicate"
"249","Properly set exit code for process.","7/25/2014","ahejlsberg","PR","closed","PR"
"250","High CPU usage from Visual studio process","7/25/2014","KamyarNazeri","Issue","closed","Closed"
"251","Make duck-typing optional.","7/25/2014","aleksey-bykov","Issue","closed","Duplicate"
"252","Use symbol links to access global array type","7/25/2014","vladima","PR","closed","PR"
"253","Typo fixed in CONTRIBUTION.","7/25/2014","huerlisi","PR","closed","PR"
"254","SyntaxTree and SyntaxWalker in new compiler","7/25/2014","ashwinr","Issue","closed","Question"
"255","Improve the error in a 'for in' statement","7/25/2014","JsonFreeman","PR","closed","PR"
"256","Gracefully handle accessor declarations in ambient classes.","7/25/2014","DanielRosenwasser","PR","closed","PR"
"257","Fix up comment about in checkCallExpression","7/25/2014","JsonFreeman","PR","closed","PR"
"258","Lamda Expressions","7/25/2014","jaredjbarnes","Issue","closed","Declined"
"259","Remove isSemicolon","7/25/2014","JsonFreeman","PR","closed","PR"
"260","Disallow modifiers on export assignments","7/25/2014","JsonFreeman","PR","closed","PR"
"261","Crash trying to create sourcemaps for the compiler","7/25/2014","danquirk","Issue","closed","Fixed"
"262","Improved errors for 'catch'/'finally' blocks missing 'try' statements","7/25/2014","DanielRosenwasser","PR","closed","PR"
"263","Support a type for objects that are pure and non-functional","7/25/2014","iislucas","Issue","closed","Declined"
"264","Error when importing shadowed internal module.","7/26/2014","ahejlsberg","PR","closed","PR"
"265","Suggestion: static constructors","7/26/2014","omidkrad","Issue","closed","Declined"
"266","Can't recognize methods of a form name.","7/27/2014","haskellcamargo","Issue","closed","Question"
"267","Support --version","7/27/2014","mhegazy","Issue","closed","Fixed"
"268","Support --watch on node","7/27/2014","mhegazy","Issue","closed","Fixed"
"269","Support --help in the new compiler","7/27/2014","mhegazy","Issue","closed","Fixed"
"270","Generate localized json files for error messages","7/27/2014","mhegazy","Issue","closed","Fixed"
"271","Omit trailing comma in object literal properties ","7/27/2014","mhegazy","Issue","closed","Fixed"
"272","Allow indexers to specify a different return type","7/28/2014","johnnyreilly","Issue","closed","By Design"
"273","No longer emit trailing comma on object literals for ES3.","7/28/2014","DanielRosenwasser","PR","closed","PR"
"274","'Stricter' TypeScript","7/28/2014","RyanCavanaugh","Issue","closed","Suggestion"
"275","Return type of inherited methods breaks function chaining","7/28/2014","danmane","Issue","closed","Duplicate"
"276","'reexport' a module, aka Ability to partition an ambient module across several files","7/28/2014","fsoikin","Issue","closed","Duplicate"
"277","'Conflicting Modifications Detected' error","7/28/2014","stijnherreman","Issue","closed","Won't Fix"
"278","Separate Module ID from type information location","7/28/2014","fsoikin","Issue","closed","Fixed"
"279","Support non-code AMD modules","7/28/2014","fsoikin","Issue","closed","Duplicate"
"280","Ability to extend interfaces declared in ambient modules","7/28/2014","fsoikin","Issue","closed","Fixed"
"281","Support incremental build with MSBuild","7/28/2014","fsoikin","Issue","closed","Fixed"
"282","Rename function / find all references doesn't affect inline object literals","7/28/2014","fsoikin","Issue","closed","Fixed"
"283","cloneNode should return sub type, not Node","7/28/2014","dlee","Issue","open","Accepting PRs"
"284","Disallow trailing commas in object literals entirely when targeting ES3","7/28/2014","DanielRosenwasser","PR","closed","PR"
"285","Allow type system to represent `this` in function inputs/outputs","7/28/2014","fsoikin","Issue","closed","Duplicate"
"286","Suggestion: support ClassExpression (as per ES6)","7/28/2014","fsoikin","Issue","closed","Duplicate"
"287","TypeScript needs a `baseDir` option","7/28/2014","basarat","Issue","closed","Declined"
"288","Syntactic 'use strict' support","7/28/2014","breyed","Issue","closed","Declined"
"289","No AMD with multiple files: tsc --out onefile.js --module amd 'file1.ts' 'file2.ts'","7/28/2014","electricessence","Issue","closed","Duplicate"
"290","JSDoc support for object literal fields","7/28/2014","johnnyreilly","Issue","open","Accepting PRs"
"291","'new' expression, which lacks a constructor signature, implicitly has an 'any' type.","7/28/2014","johnnyreilly","Issue","closed","Question"
"292","Publishing web project fails when custom output folder is used","7/28/2014","oliverw","Issue","closed","Fixed"
"293","Specify (absolute) path for library projects","7/29/2014","andrewvarga","Issue","closed","Declined"
"294","Require with non-relative path can pull in unexpected code","7/29/2014","robertknight","Issue","closed","Fixed"
"295","Improper usage of properties with missing set / get should be an error","7/29/2014","basarat","Issue","closed","Duplicate"
"296","Alternative syntax for type assertions to allow XML-like syntax extensions","7/29/2014","thorn0","Issue","closed","Suggestion"
"297","Add option for nesting TypeScript output in project","7/29/2014","SeriousM","Issue","closed","Declined"
"298","Type of caught exception with noImplicitAny?","7/29/2014","Ziriax","Issue","closed","By Design"
"299","Request to change currentTarget in Event interface for lib.d.ts","7/29/2014","nathggns","Issue","open","Accepting PRs"
